Firm,year,CASH_ASSET,SIZE,MTB,LEV,DIV,CFO,VOL,RD,LIQ,CAPEX,TANG,AGE,SG
ADP,2017,0.074868209,10.52352626,2.295657612,0.054066703,1,0.073211404,0.010846115,0.05068741,0.001592254,0.013628295,0.054636902,55,0.061022644
AVY,2017,0.051607,8.544205064,2.764266059,0.30790944,1,0.168097491,0.006188421,0.014121987,0.00019467,0.100060348,0.584185014,57,0.086634355
AVT,2017,0.115232718,9.179838792,0.968493636,0.18344334,1,0.077753294,0.007520005,0,0.408504628,-0.010118882,0.122404671,57,-0.334842007
BTI,2017,0.023795009,10.91680745,1.374134619,0.350614728,1,0.053879096,0.063186171,0.00394244,-0.034983487,0.016526586,0.058076547,41,0.508549338
BMI,2017,0.02849944,5.970565169,3.844930781,0.113727162,1,0.197275143,0.003423482,0.026329391,0.138744585,0.084658448,0.542431336,54,0.022041289
BCPC,2017,0.041941148,6.87071363,3.038042373,0.227226878,1,0.146911282,0.002480052,0.015644177,0.052430586,0.087637863,0.296467753,43,0.075172992
BLL,2017,0.026675986,9.750860711,1.541790195,0.406022482,1,0.102044382,0.012520236,0.002458345,-0.04700332,0.086376609,0.430193954,45,0.212117868
B,2017,0.061414811,7.768836004,1.89482637,0.225130996,1,0.127954497,0.002018657,0.010278462,0.13005365,0.068927547,0.353102824,57,0.167169881
ABX,2017,0.088272483,10.13887583,1.300077809,0.253793267,1,0.170301881,0.005807469,0,0.027777778,0.080211791,1.98170539,34,-0.021500351
BSET,2017,0.262381361,5.682722257,1.722690197,0.012711576,1,0.141029045,0.000608013,0,-0.003567684,0.061685526,0.791392622,52,0.047368519
BAX,2017,0.198351937,9.747476811,2.512306311,0.205248086,1,0.132955409,0.004545059,0.058422498,0.061247151,0.101046111,0.593068786,57,0.039161665
AIT,2017,0.075711573,7.235327312,2.37895863,0.210135522,1,0.15326302,0.001497062,0,0.337081065,0.032183022,0.197616019,57,0.029497965
BDX,2017,0.376291938,10.53831682,1.94999906,0.500079504,1,0.084327132,0.028338605,0.064003969,0.028939418,0.05061748,0.248847194,56,-0.03124249
BELFB,2017,0.160815276,6.06672275,1.336210798,0.284497931,1,0.089369645,0.012510984,0.058582904,0.25377668,0.0670539,0.364750212,35,-0.017078774
VZ,2017,0.008084996,10.91680745,1.672118878,0.455369191,1,0.170862127,0.000749692,0,-0.020233878,0.120606044,0.958602801,33,0.000428639
BCE,2017,0.011517977,10.90159787,1.723258922,0.431104067,1,0.167812321,0.004208945,0.005237907,-0.124818016,0.137368004,1.275823305,57,0.046042635
BMS,2017,0.019216736,8.216061071,1.848166707,0.422551961,1,0.143706587,0.010586417,0.010602541,0.13511176,0.086759102,0.750101354,57,0.010438518
BBY,2017,0.255345237,9.476466781,2.208076355,0.103839375,1,0.202007817,0.02102644,0,-0.101157177,0.095026439,0.666717756,34,0.069740883
BIO,2017,0.177986395,8.360074244,1.977945913,0.101801961,0,0.067315046,0.002074976,0.115871885,0.166958342,0.052994,0.305440284,43,0.044474541
ESV,2017,0.060536446,9.590549209,0.579127746,0.324814199,1,0.038602753,0.040519476,0,-0.002181062,0.190374609,1.048284208,38,-0.336190751
BA,2017,0.108216997,10.91680745,2.883923532,0.120401157,1,0.129000466,0.01478417,0.034039318,-0.0119134,0.026112008,0.328300824,57,-0.012466824
RHI,2017,0.15783682,7.532331285,4.103793154,0.000641645,1,0.311231227,0.029102772,0,0.208422805,0.04584959,0.433408802,46,0.003121668
RFP,2017,0.001446829,8.33014046,0.85476489,0.190258018,0,0.084157222,0.018672188,0,0.148782252,0.066795274,0.802990113,34,-0.009026798
BRC,2017,0.127538628,6.956757802,2.186546762,0.102610588,1,0.150747032,0.004785649,0.035590973,0.082527235,0.03594189,0.353257356,34,-0.006522253
BRID,2017,0.124137578,4.58031381,1.59322159,0.004346712,0,0.166015685,0.004915343,0,0.281613614,0.132933518,0.843641396,49,0.193912739
BGG,2017,0.042527838,7.27999378,1.36251014,0.152857484,1,0.097620986,0.001542335,0.012877197,0.204934737,0.071017568,0.761267393,57,-0.012536088
BMY,2017,0.203034187,10.42082195,3.632685762,0.237310363,1,0.151768949,0.005398154,0.308577204,-0.045333969,0.020446484,0.267860869,57,0.06943944
TU,2017,0.017226208,10.29377134,1.680685664,0.465682957,1,0.162616759,0.003029471,0,-0.095268715,0.09729931,1.137098958,57,0.037485265
BP,2017,0.092982298,10.91680745,1.145924751,0.228667523,1,0.088121802,0.02132438,0.001627756,-0.055942716,0.097528163,1.08543117,57,0.312554642
CAL,2017,0.047328649,7.306138704,1.485574779,0.132583598,1,0.143650359,0.008930662,0,0.232398626,0.050877694,0.364446444,57,0.079939893
BC,2017,0.136680364,8.119160395,1.997824174,0.130248347,1,0.178607587,0.000661392,0.030709534,0.104996724,0.009707581,0.438330058,57,0.004790019
MTRN,2017,0.052894509,6.673404157,1.609506197,0.018742637,1,0.123170232,0.008751671,0.012269987,0.305896719,0.092623539,1.127300009,57,0.175613576
MTZ,2017,0.009916451,8.310556647,1.644868767,0.336541602,0,0.14635605,0.00498167,0,0.208581618,0.113479005,0.357943882,49,0.286730313
CSX,2017,0.011723887,10.48399781,1.958216612,0.330423347,1,0.141022412,0.006073278,0,-0.011136294,0.067489297,1.240213772,49,0.030626073
CTS,2017,0.210436987,6.291006018,1.934504795,0.141375886,1,0.144010702,0.000332691,0.059447792,0.032657274,0.056524414,0.535451439,57,0.066335753
CVV,2017,0.240954254,4.077164493,1.583261216,0.226406457,0,0.137085015,0.105290953,0.010625106,0.13852623,0.272796636,0.60229238,33,0.962729659
CBT,2017,0.084490042,8.105911198,1.703511032,0.278817139,1,0.149064575,0.002380431,0.020610968,0.072420036,0.097767049,1.086904043,55,0.126918291
CACI,2017,0.016757255,8.271569341,1.369196989,0.314890611,0,0.094698603,0.006046092,0,0.073539496,0.022306359,0.059672745,43,0.163075683
CPB,2017,0.041289154,8.952346543,2.662452757,0.457675382,1,0.258219001,0.05112808,0.012420786,-0.10535853,0.077271551,0.782164121,57,-0.008918478
MLFNF,2017,0.077272399,7.875715834,1.941751969,0.003512917,1,0.135249205,0.00582127,0,0.080578294,0.092635713,0.813573808,56,0.057150283
CNI,2017,0.014696112,10.53553031,2.602872519,0.287756783,1,0.18174812,0.004255961,0,-0.062345531,0.052698716,1.24555529,40,0.083409487
CP,2017,0.01678669,9.910214873,2.333038689,0.4052148,1,0.169009188,0.00432356,0,-0.052048671,0.063372237,1.213260492,57,0.051668806
CDNAF,2017,0.036449866,9.656576273,1.393448049,0.269844216,1,0.107922326,0.004616783,0,0.237279349,0.055689251,0.48652731,57,0.059451147
CAJ,2017,0.139234034,10.73919979,1.323204664,0.102450222,1,0.120668908,0.019416442,0.080895047,0.076831028,0.074138065,0.724213926,43,0.243014047
CAH,2017,0.173115277,10.59943082,1.312956721,0.259149382,1,0.07656063,0.01225963,0,0.004487435,0.021439968,0.115352014,35,0.069356458
CRS,2017,0.023036031,7.964885633,1.41184652,0.210208123,1,0.075987631,0.005280656,0.009401424,0.219346096,0.062054828,0.927174177,57,-0.008712915
CAT,2017,0.111730464,10.91680745,2.045670657,0.453184689,1,0.122125205,0.031616878,0.041903128,0.009277306,0.032171721,0.409786648,57,0.179697434
CTL,2017,0.007353427,10.91680745,0.925179391,0.498948566,1,0.083294759,0.039263779,0,-0.016121993,0.210974594,0.677203052,46,0.010646823
MGLN,2017,0.253761116,7.992009651,1.358513767,0.288694435,0,0.093234421,0.010995199,0,-0.053895295,0.053969351,0.254882434,46,0.207095932
CMD,2017,0.046522452,6.667431235,5.792547849,0.160229306,1,0.192694815,0.008434714,0.023848384,0.144979545,0.079408881,0.221855277,43,0.158557664
CHE,2017,0.012087702,6.824401931,4.649028136,0.109996891,1,0.266239215,0.008937244,0,-0.031082817,0.082716141,0.405497236,46,0.05697513
CVX,2017,0.018998763,10.91680745,1.355884587,0.152726886,1,0.086006635,0.02459024,0.003396478,-0.015756129,0.109363057,1.357276818,57,0.234004453
CHD,2017,0.046368957,8.701978378,2.696747539,0.410038572,1,0.149182018,0.030084084,0.018749007,-0.035529028,0.030424952,0.203897054,43,0.08104549
CHDN,2017,0.035136052,7.766162628,2.247469696,0.478596253,1,0.09561753,0.027959273,0,-0.118674239,0.053615326,0.475587014,43,-0.325538744
CLX,2017,0.091843429,8.427924724,5.077748165,0.480647277,1,0.279903783,0.006824612,0.022601708,-0.156352504,0.060791603,0.641154603,50,0.036799167
COKE,2017,0.005500234,8.030396545,1.534512275,0.368207526,1,0.08624258,0.01074803,0,0.044967718,0.116489639,0.616569692,43,0.369797759
KO,2017,0.23522117,10.91680745,3.028885501,0.542516155,1,0.121143169,0.009219334,0,-0.128834077,-0.040832347,0.187141622,57,-0.154145666
CDE,2017,0.112881979,7.439074468,1.339358385,0.241787,0,0.116709921,0.024914627,0,0.016927124,0.245895337,1.456007759,40,0.065819336
COHR,2017,0.203898109,7.756965595,3.475873394,0.25411883,0,0.203921208,0.039584835,0.069149445,0.177879203,0.123196167,0.241643425,47,1.009961686
COHU,2017,0.370109191,6.041342215,1.799707342,0.021317281,1,0.116097484,0.041285158,0.115499115,0.134510782,0.069260352,0.15965723,57,0.250350959
CCOM,2017,0.015146084,3.510769018,0.856298919,0.459789688,0,0.057925554,0.001700811,0,0.220768358,0.015474697,0.160512637,40,0.057811283
CMCSA,2017,0.018438184,10.91680745,1.628013765,0.345313428,1,0.150105109,0.002413064,0,-0.047863321,0.06796506,0.472781347,43,0.051279181
CMC,2017,0.095926868,7.998043351,1.358966069,0.277218717,1,0.082335198,0.015377739,0,0.275640636,0.136246438,0.875571866,57,-0.008860377
CAR,2017,0.034917227,9.78126342,1.167947568,0.72318047,0,0.170631109,0.000859472,0,-0.011130572,0.153115995,0.798576191,34,0.021827001
CTG,2017,0.08751518,4.849174628,0.993907627,0.034747522,0,0.058933678,0.002014474,0,0.310432092,0.008602656,0.180271869,43,-0.072894768
CMTL,2017,0.050289461,6.723908159,1.049962948,0.235321124,1,0.074752753,0.01940172,0.098588581,0.066087544,0.055141257,0.192392884,45,0.339081858
